address,vested,award,unlockSchedule,lumpSumMonth
0x00009b7F4D71C76D1e990c0338098A7e98cFE468,345000000000000000000,345000000000000000000,1,0
0x00009f054394Caa38eCb01bDdEc07Be179938536,748352500000000000000,748352500000000000000,1,0
0x0000a05878C7686EEd219Ed7b73919e8342EC082,500000000000000000000000,500000000000000000000000,1,32
0x0000A0Cb69d18e7FC9Beb57C6579B9248BFe3ED9,522476250000000000000,522476250000000000000,1,0
0x0000A23aD1772A162884449Be3C8B1b7112A4d6d,734000000000000000000,734000000000000000000,1,0
0x0000a33b03f1Bb4B7b19bc4e95Fe78bD342dB1b3,1021171036002460000000,1021171036002460000000,1,0
0x0000a639aA8673458B54a83B6226b6FcA28272EC,119600000000000000000,119600000000000000000,1,0
0x0000Ad10021C97E526b1aA190D171DEB4280edDd,192900000000000000000,192900000000000000000,1,0
0x0000B65210d4e2D1C91310c3Bcc6dc2b804E7C64,451500000000000000000,451500000000000000000,1,0
0x0000B70d680426a0D074A2D6B4dEa3b9E0Cd49E1,500000000000000000000000,500000000000000000000000,1,41
0x0000B7CE1beE6BF4039d757997998ecC742bDD8c,24600000000000000000,24600000000000000000,1,0
0x0000B843d55DFD9bDc2F9fC3e601fcc4efB2D7FA,318954702784440000000,318954702784440000000,1,0
0x0000b8d8367c0Ce9A69Aeff9a4eF6dB163B30386,500000000000000000000000,500000000000000000000000,1,42
0x0000b9178e2571fEA3EEFB49b0c3aB2EBC8a8D5D,370500000000000000000,370500000000000000000,1,0
0x0000bEeE04057DeDe17E6EFf0341329C19b01b94,724500000000000000000,724500000000000000000,1,0
0x0000bF4F8025E0817d291C22e67cc8a2e23617B9,311176250000000000000,311176250000000000000,1,0
0x0000c0A21DaB3dF4832e5Fc20D3442508BF37AE0,392000000000000000000,392000000000000000000,1,0
0x0000C0bD962dbbb8902aBA446Fa799C2fdc16ae7,750000000000000000000,750000000000000000000,1,0
0x0000c0D15B57d04A719a3DB0B1044fF9eaa1AAe9,100029237878397000000,100029237878397000000,1,0
0x0000C2d70974e70A820E33E865f0ef8c5FE6D6A8,610347697182088000000,610347697182088000000,1,0
0x0000c31846459623d5554b5b71248B7426736859,1141500000000000000000,1141500000000000000000,1,0
0x0000c37B90bA9971eD684010e7959Fdc8E6Fd6AD,84000000000000000000,84000000000000000000,1,0
0x0000C3F87754605Eb4Ed2E469Cb0ed54428100a3,500000000000000000000000,500000000000000000000000,1,20
0x0000c5B868a6C01817040dADf57164fa85D2E7C2,191339837584876000000,191339837584876000000,1,0
0x0000C89FE51b3B4dfb95B839B891C2D9A0712923,500000000000000000000000,500000000000000000000000,1,0
0x0000c8C193045c372A468fdD9CF2017443f79e94,1500000000000000000000,1500000000000000000000,2,
0x0000Cb0a5E828017864177B48b18eeD146173824,500000000000000000000000,500000000000000000000000,1,0
0x0000cC223Eb7570C12cb5bdCc5AAE78F39A48374,15056030000000000000,15056030000000000000,1,0
0x0000cC86DDbfc790fCe6cDC1D137688C8DE3865B,1780500000000000000000,1780500000000000000000,1,0
0x0000D473e73069CB36ade70595a87FB98620e395,500000000000000000000000,500000000000000000000000,1,23
0x0000ddE3053f8D97013b89AbB7AD806D89a5ad1d,951098886050292000000,951098886050292000000,1,0
0x0000DE2F6F039E60A5999A9BB6A9845143D1b022,2000000000000000000000000,2000000000000000000000000,3,
0x0000de89A4e4a7e7d64348684E9A00bD7f85eB92,500000000000000000000000,500000000000000000000000,1,21
0x0000E0504e345B02B39b683976dA528d28C5BAB0,785931362863807000000,785931362863807000000,1,0
0x0000E18dD472499B08d5bDf434EF90d17a406402,56800000000000000000,56800000000000000000,1,0
0x0000E4090a1c217b90256EEa1915fdfcD1BBAE64,169500000000000000000,169500000000000000000,1,0
0x0000E6516fc479BC0B145a07260f74cd4f106508,500000000000000000000000,500000000000000000000000,1,31
0x0000E9633238638013527909A3DD99E8016A0E90,1000629742112810000000,1000629742112810000000,1,0
0x0000eA11977e92c57F816D4D2F82118c29FF562E,500000000000000000000000,500000000000000000000000,1,9
0x0000EaE4635fD72Bf91dE1203742562C508729bd,18200000000000000000000,18200000000000000000000,2,
0x0000edD848254d1d3D438095d48A77f2247a07B5,500000000000000000000000,500000000000000000000000,1,21
0x0000eDFbe1cEC5527e6A177b8B6e2aEDdbDe147D,183400000000000000000,183400000000000000000,1,0
0x0000F0f8aBD52b6FA0398476961CF8CA25d40C2B,5000000000000000000000000,5000000000000000000000000,2,
0x0000f186cFbb6A3C9CFa3A4525b99fd3775C470e,1198500000000000000000,1198500000000000000000,1,0
0x0000F1D6b04CC59a948Ee58324d535AD8f386a63,16015000000000000000000,16015000000000000000000,1,0
0x0000F24145212A6B147DD2bfCa53bcAB07f31e87,859500000000000000000,859500000000000000000,1,0
0x0000F25b3861782535539274b0d558Cc4F985AcC,280543108103798000000,280543108103798000000,1,0
0x0000f547c305a5f713Ef4cDdFdb96336d0D6df5c,145500000000000000000,145500000000000000000,1,0
0x0000Fa1C51E9f132eA30BD1B699Da36e54a1F282,10000000000000000000000000,14117647058823500000000000,3,
0x0000FA5519A87BC7095A28b403aE1944149a194e,352291323406681000000,352291323406681000000,1,0
0x0000FAECA1091019DeD9EdF1d96c88B8d7506F53,58000000000000000000,58000000000000000000,1,0
0x0000fc7A9569ec9592c2264f944204a16a9fA680,500000000000000000000000,500000000000000000000000,1,54
0x0000fE8D388F9b0C25134aF8a2078F57bedCab80,744000000000000000000,744000000000000000000,1,0
0x00010302f31D99C8DAE2e99CA178Bf861A0d4485,2364600454129370000000,2364600454129370000000,1,0
0x0001031A36A4ea87d9c0D3E51eA6da201e4ba690,2819400000000000000000,2819400000000000000000,1,0
0x00010836cb20095c80149F35CCd17cCA2C15e287,500000000000000000000000,500000000000000000000000,1,58
0x0001087D0ac4cb4F41dcd4Cc7D5e271656A51074,13704900000000000000000,13704900000000000000000,1,0
0x00010a7Bd97Ee2d3245b5D4c3caB889a528cF9CF,10417166581680900000,10417166581680900000,1,0
0x00010aE349B69701694107085705695BD805dD27,500000000000000000000000,500000000000000000000000,1,41
0x00010aeDB60F2Cc213914E76A929a2690441941C,55000000000000000000,55000000000000000000,1,0
0x00010Af0a5C8De8EbaC4E8Fc51f2b3Bb8652D572,43568169348399200000000,43568169348399200000000,1,0
0x00010E8343e91873b73e06bc29079750261B10C4,500000000000000000000000,500000000000000000000000,1,14
0x0001185661f578B9aC3CA9Eb1550444544c8a56c,500000000000000000000000,500000000000000000000000,1,0
0x0001197e9fA39169D55eF6Ea583EFCAD215cfD1b,425444344098384000000,425444344098384000000,1,0
0x000119c8BBe016F91c28d0eE2bB4cF8c2Ae28d1f,500000000000000000000000,500000000000000000000000,1,42
0x00011Cc532B5091EB2BDE3B937d1de95a016c074,139500000000000000000,139500000000000000000,1,0
0x00011Eb432F7251AcD2bc530536D7c4fDca5D44c,6100000000000000000000,6100000000000000000000,2,
0x0001214001f109F93cA57e278c2bbF84cc00116E,500000000000000000000000,500000000000000000000000,1,30
0x0001216ea974D8556b7275CD347A30B115216E59,450211289064765000000,450211289064765000000,1,0
0x000123158815979CcCED2000c3045d147D93c442,105500000000000000000,105500000000000000000,1,0
0x0001245a55F168ff25cCCEE6506cA12b45788c02,55330086747047100000,55330086747047100000,1,0
0x0001260c181b1349dA291572ce25646666EdF7Da,500000000000000000000,500000000000000000000,2,
0x0001283E483cC76f2308B2f241901a95A5151C8B,103500000000000000000,103500000000000000000,1,0
0x000129cd691Dc684Ca902F60a96D35aaFb56B355,6832110302006170000000,6832110302006170000000,1,0
0x00012B824935EaA9F198EbC362b3A46Cd3f5Fd67,500000000000000000000000,500000000000000000000000,1,12
0x00012b874EBF761F76b867BA034f2Eb91BF88D5f,50944500000000000000000,50944500000000000000000,1,0
0x00012BF781ba820a1202c74630E8B0907028046E,258000000000000000000,258000000000000000000,1,0
0x0001302edfD2fc75e19c48f27a7ec077A472a057,968270000000000000000000,968270000000000000000000,2,
0x00013055758A9F534aD69605da1202843723614A,831000000000000000000,831000000000000000000,1,0
0x0001313df6E4771569b2aa3D65d8b45801310500,2619380318033360000000,2619380318033360000000,1,0
